Company Name;Nome;Código CVM;CNPJ;Segmento;Tickers
AMBAR ENERGIA LTDA;AMBARENERGIA;912170;1645009000384;Não Classificados;N/A
Ambar Uruguaiana Energia S.A.;AMBARURUGUAI;915983;1600202000137;Não Classificados;N/A
AMBEV S.A.;AMBEV S.A.;23264;7526557000100;Cervejas e Refrigerantes;ABEV3
AMBIENTAL LIMPEZA URBANA E SANEAMENTO LTDA;AMB LIMPEZA;900040;3094629000136;Não Classificados;N/A
AMBIENTAL METROSUL CONCESSIONARIA DE SANEAMENTO SP;AMB METROSUL;900364;36641320000178;Não Classificados;N/A
AMBIENTAL MS PANTANAL SPE S.A;AMBIENTAL MS;914663;40074069000184;Não Classificados;N/A
AMBIENTAL PARTICIPACOES S.A.;AMBIENTALPAR;916338;38138329000196;Não Classificados;N/A
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;AMBIPAR;24961;12648266000124;Água e Saneamento;AMBP3
AMERICA NET S.A.;AMERICA NET;914077;1778972000174;Não Classificados;N/A
AMERICAN TOWER DO BRASIL - CESSAO DE INFRAESTRUTUR;AMER TOWER;917658;4052108000189;Não Classificados;N/A
AMERICANAS S.A;AMERICANAS;20990;776574000156;Produtos Diversos;AMER3, AMER11
AMPLA ENERGIA E SERVICOS S.A.;AMPLA ENERG;3050;33050071000158;Energia Elétrica;CBEE3, CBEE9
ANDALI AS;ANDALIAS;914051;2227264000108;Não Classificados;N/A
ANDORINHA ENERGIAS RENOVAVEIS S/A;ANDORINHA;900316;17613512000126;Não Classificados;N/A
ANDRADE GUTIERREZ PARTICIPACOES S.A.;AGPART;912535;4031960000170;Holdings Diversificadas;N/A
ANDRADE GUTIERREZ S/A;AGUTIERREZ;900191;17262197000130;Não Classificados;N/A
ANEMUS WIND HOLDING S.A.;ANEMUS WIND;26832;38482780000126;Energia Elétrica;N/A
ANGULO45 EMPREENDIMENTOS S.A;ANGULO45 EMP;917517;39435090000189;Não Classificados;N/A
ANHANGUERA EDUCACIONAL PARTICIPACOES S.A;ANHANGUERA;900288;4310392000146;Não Classificados;N/A
ANIMA HOLDING S.A.;ANIMA;23248;9288252000132;Serviços Educacionais;ANIM3
AOVS SISTEMAS DE INFORMÁTICA S.A.;AOVSSISTEMA;917522;5555382000133;Não Classificados;N/A
APERAM INOX AMERICA DO SUL S.A.;APERAM;909697;33390170000189;Siderurgia;N/A
APOLLO 17 PARTICIPACOES S.A;APOLLO 17;914531;37606330000135;Não Classificados;N/A
APSEN FARMACEUTICA S.A.;APSEN FARMA;914325;62462015000129;Não Classificados;N/A
AQUA-FOZ AQUÁRIO DE FOZ DO IGUAÇU S.A.;AQUAFOZAQU;917507;42651953000160;Não Classificados;N/A
AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A;AQUARIO;900027;19624745000150;Não Classificados;N/A
ARAUCARIA SANEAMENTO S/A;ARAUCARIA;900357;12049167000126;Não Classificados;N/A
Arco Insuretech S.A.;ARCOINSURETE;915967;43751004000114;Não Classificados;N/A
ARCOS SANEAMENTO E PARTICIPACOES LTDA;ARCOS S.A.NEAM;912063;29291541000106;Não Classificados;N/A
ARCOVERDE TRANSMISSÃO DE ENERGIA S.A.;ARCOVERDE;910448;28008887000183;Não Classificados;N/A
AREIA ENERGIA S/A;AREIAENERGIA;911883;7321320000192;Não Classificados;N/A
ARES 2 PARTICIPAÇÕES S.A.;ARES 2 PARTI;914473;27317154000168;Não Classificados;N/A
ARES ONE PARTICIPACOES S.A.;ARES ONE PAR;914085;38350319000110;Não Classificados;N/A
ARGEB ENERGIA EMPREENDIMENTOS E PARTICIPACOES S.A.;ARGEB;917580;47680198000165;Não Classificados;N/A
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ARGO ENERGIA;24120;24624551000194;Não Classificado;N/A
ARGO TRANSMISSAO DE ENERGIA S.A.;ARGOTRANSM;24210;24624490000165;Não Classificado;N/A
ARGO V TRANSMISSAO DE ENERGIA SA;ARGOVTRANS;26662;20514590000188;Energia Elétrica;N/A
ARGO VI TRASMISSAO DE ENERGIA SA;ARGOVITRANS;26670;20514555000169;Energia Elétrica;N/A
ARGO VII TRANSMISSÃO DE ENERGIA S.A.;ARGOTRANSVII;26654;21728083000100;Energia Elétrica;N/A
ARKLOK  EQUIPAMENTOS DE INFORMÁTICA S.A;ARKLOK;917654;10489713000114;Não Classificados;N/A
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.;ARMAC;26069;242184000104;Máq. e Equip. Industriais;ARML3
ARMAZEM MATEUS S.A.;ARMAZEMMATEU;900308;23439441001323;Não Classificados;N/A
ARMCO DO BRASIL S.A.;ARMCO;900332;71586952000187;Não Classificados;N/A
ARTECOLA QUIMICA S.A.;ARTECOLA;900340;44699346000103;Não Classificados;N/A
ARTEON Z TRANSMISSAO E PARTICIPACOES S/A;ARTEON Z S.A.;911966;32711933000183;Não Classificados;N/A
ARTERIS S.A.;ARTERIS;19771;2919555000167;Exploração de Rodovias;N/A
ARTHUR LUNDGREN TECIDOS S.A. - CASAS PERNAMBUCANAS;ARTHURLUNDG;910489;61099834000190;Não Classificados;N/A
ASA BRANCA HOLDING S.A.;ASABRANCAH;26514;9359927000197;Energia Elétrica;N/A
